,channel_id,channel_title,creation_date,country,view_count,comment_count,subscriber_count,video_count,genres
0,UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,2012-09-23T03:23:23.000Z,US,10040910795,0,27600000,1814,"['Hip Hop Music', 'Electronic Music', 'Pop Music', 'Music']"
1,UClZkHt2kNIgyrTTPnSQV3SA,Get Movies,2006-12-16T19:24:29.000Z,RU,21779486367,0,29100000,2986,"['Film', 'Entertainment']"
2,UCYWOjHweP2V-8kGKmmAmQJQ,Badabun,2014-10-14T00:15:54.000Z,MX,14839639855,0,43100000,4880,"['Television Program', 'Entertainment', 'Lifestyle (Sociology)']"
3,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya Vlog,2016-12-06T12:15:52.000Z,RU,19158328941,0,39100000,327,"['Hobby', 'Entertainment', 'Lifestyle (Sociology)']"
4,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,2010-06-11T05:33:27.000Z,IN,13883702142,0,29500000,6348,"['Film', 'Entertainment', 'Music Of Asia', 'Music']"
5,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,2007-05-11T01:20:02.000Z,,37182753702,0,50800000,44501,"['Entertainment', 'Professional Wrestling', 'Performing Arts']"
6,UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,2006-03-09T03:19:51.000Z,,274747243,0,28100000,154,"['Pop Music', 'Entertainment', 'Music']"
7,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,2016-06-29T03:15:23.000Z,KR,7780183503,0,31300000,253,"['Hip Hop Music', 'Entertainment', 'Music Of Asia', 'Music']"
8,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,2006-09-20T22:24:59.000Z,IN,43125038812,0,59300000,33607,"['Television Program', 'Film', 'Entertainment']"
9,UCyoXW-Dse7fURq30EWl_CUA,Goldmines Telefilms,2012-01-21T08:42:21.000Z,IN,5237261807,0,29300000,512,"['Film', 'Entertainment', 'Music']"
10,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,2009-03-17T05:44:36.000Z,US,9306672097,0,47200000,218,"['Sport', 'Entertainment', 'Lifestyle (Sociology)']"
11,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,2012-04-15T04:13:36.000Z,MX,3639444196,0,27600000,714,"['Entertainment', 'Lifestyle (Sociology)', 'Food']"
13,UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,2007-01-22T01:53:12.000Z,,925980874,0,38800000,139,"['Pop Music', 'Entertainment', 'Music']"
14,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,2006-09-01T22:18:49.000Z,US,43335002834,0,65100000,474,"['Film', 'Entertainment', 'Music']"
15,UCb2HGwORFBo94DmRx4oLzow,One Direction,2010-12-03T11:45:50.000Z,,352206340,0,30200000,157,"['Pop Music', 'Music']"
16,UC3KQ5GWANYF8lChqjZpXsQw,whinderssonnunes,2013-01-21T13:06:10.000Z,,3142901781,0,37500000,373,"['Entertainment', 'Lifestyle (Sociology)', 'Music']"
17,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,2009-09-02T23:16:22.000Z,IN,11463666094,0,28800000,2498,"['Hip Hop Music', 'Music Of Asia', 'Music']"
18,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,2017-03-15T11:17:50.000Z,,6075130166,0,31600000,3034,"['Vehicle', 'Film', 'Entertainment', 'Lifestyle (Sociology)']"
19,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,2008-03-02T19:25:21.000Z,,11275900934,0,27900000,5571,"['Role-Playing Video Game', 'Video Game Culture', 'Action Game']"
20,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,2016-11-15T09:25:37.000Z,US,16284872101,0,62000000,3819,"['Hobby', 'Lifestyle (Sociology)', 'Food']"
